date,death,age0_64,age65_74,age75_84,age85plus,tmax,tmean,tmin,pm10,o3,co
01/01/1996,260,56,43,83,75,6.3,3.8,1.2,36,6,1.11
02/01/1996,278,47,48,91,89,6.8,4.8,2.7,NA,NA,0.66
03/01/1996,266,45,55,83,79,6.4,5,3.6,NA,NA,0.55
04/01/1996,248,42,42,87,74,7.6,5.4,3.2,NA,NA,0.33
05/01/1996,279,49,61,83,85,8.6,6.6,4.6,NA,NA,0.55
06/01/1996,262,46,52,87,77,10.6,8.2,5.8,29,7,0.55
07/01/1996,236,33,52,69,81,11.3,8.5,5.7,38,16,0.37
08/01/1996,240,34,44,82,77,12.6,9.7,6.8,30,16,0.41
09/01/1996,213,34,39,72,64,11.6,9.7,7.8,30,12,0.49
10/01/1996,232,36,34,85,74,11.9,8.3,4.7,45,7,0.74
11/01/1996,234,39,51,72,72,10.8,8.5,6.1,28,8,0.49
12/01/1996,215,48,32,68,65,11.5,9.5,7.4,37,21,0.28
13/01/1996,228,41,44,77,65,12.4,11,9.7,33,22,0.28
14/01/1996,199,31,34,60,71,12.7,9.8,7,34,10,0.55
15/01/1996,222,29,43,80,68,10.2,6.9,3.7,69,7,1.34
16/01/1996,204,26,31,86,59,7.3,6.2,5,134,9,2.59
17/01/1996,218,35,43,75,62,11.2,7.9,4.7,43,6,0.88
18/01/1996,206,29,47,72,56,6.6,5.1,3.6,26,5,0.79
19/01/1996,195,38,36,61,57,8.2,5.7,3.3,70,5,1.06
20/01/1996,221,50,43,63,64,4.4,4.2,4,57,5,0.46
21/01/1996,207,33,40,76,55,4.4,3,1.5,69,6,0.55
22/01/1996,184,36,30,71,46,6.7,4.2,1.7,91,5,0.44
23/01/1996,198,39,41,55,61,4.5,4,3.5,74,4,0.44
24/01/1996,215,43,46,61,62,4.8,3.4,1.9,89,3,0.65
25/01/1996,207,34,51,75,44,0.1,-0.3,-0.6,66,11,0.65
26/01/1996,223,41,44,70,65,-1.2,-2.2,-3.2,45,20,0.53
27/01/1996,185,36,29,56,63,2.5,-1.4,-5.3,72,10,0.7
28/01/1996,208,34,47,67,55,1.8,-1.3,-4.4,56,9,0.43
29/01/1996,215,47,40,68,56,2.2,1.1,0,58,13,0.37
30/01/1996,196,33,41,54,66,3.5,1.6,-0.3,79,5,0.53
31/01/1996,207,43,30,70,62,5.6,3.3,1,62,6,0.77
01/02/1996,191,37,34,66,51,5.2,1.5,-2.2,82,8,1.37
02/02/1996,206,35,38,72,60,3,0.5,-2,65,8,0.7
03/02/1996,185,31,37,65,51,5.2,2,-1.2,28,11,0.57
04/02/1996,216,42,41,61,69,4.7,2,-0.6,18,13,0.47
05/02/1996,213,36,49,68,59,1.6,-1.4,-4.3,38,14,0.5
06/02/1996,211,36,50,63,60,1,-0.4,-1.8,54,14,0.73
07/02/1996,199,28,50,63,57,1.9,-0.8,-3.5,65,8,1.2
08/02/1996,205,33,53,64,50,6.7,1.9,-2.9,55,11,1.43
09/02/1996,238,38,53,80,66,7.2,2.6,-2,24,13,0.57
10/02/1996,182,32,39,54,55,10.5,7,3.5,20,20,0.3
11/02/1996,191,41,41,53,55,9.2,7.4,5.6,22,25,0.27
12/02/1996,235,40,58,65,70,5.7,4.4,3.2,14,22,0.43
13/02/1996,185,44,38,56,43,5.8,4.3,2.8,37,15,0.29
14/02/1996,182,34,30,57,57,6,3.9,1.8,33,14,0.47
15/02/1996,190,39,31,65,53,6.9,2.2,-2.5,39,6,1.07
16/02/1996,216,38,54,61,59,13.1,6.7,0.2,31,13,0.4
17/02/1996,218,42,38,72,63,10.4,8,5.6,26,32,0.3
18/02/1996,203,34,39,58,72,9.1,7.1,5,11,38,0.3
19/02/1996,207,51,37,59,54,3.8,2.3,0.9,25,37,0.43
20/02/1996,212,47,53,66,44,1.8,-0.3,-2.3,30,39,0.27
21/02/1996,189,32,42,54,59,2.9,0.5,-1.9,NA,17,0.7
22/02/1996,184,25,30,74,55,5.9,0.7,-4.6,NA,2,1.13
23/02/1996,197,37,37,59,61,8.6,4.1,-0.5,NA,10,0.73
24/02/1996,169,37,24,44,61,9.4,6,2.7,21,24,0.27
25/02/1996,202,32,41,78,48,7.6,6.2,4.8,19,24,0.4
